subj_id,assoc_recog_rate,FNRecall_acc_all,FNRecall_hit,FARate,FNRecall_dprime_all,FNRecog_acc_all,FNRecog_hit,FNRecog_dprime_all
2001,0.6813896541755908,0.7,0.633333333333333,0.2,1.18231606066071,0.92,1,2.89537014420474
2002,0.4355967598547971,0.56,0.566666666666667,0.45,0.29355535164318,0.8,0.966666666666667,1.95957598267099
2003,-0.20926691122815064,0.62,0.366666666666667,0,1.71305408354403,0.88,0.8,2.89537014420474
2004,1.291261498551964,0.8,0.666666666666667,0,2.48447620992728,0.94,0.9,3.33530047617642
2005,0.5437600107985215,0.6,0.566666666666667,0.35,0.553214471195673,0.82,0.933333333333333,1.88640641245159
2006,1.2458514464201755,0.74,0.733333333333333,0.25,1.29741547340617,0.9,1,2.7282386608279
2011,-0.11943419957064576,0.48,0.333333333333333,0.3,0.0936732134125831,0.7,0.7,1.04880102541608
2012,0.8614545985909148,0.68,0.6,0.2,1.09496833670871,0.86,0.9,2.12317279911752
2020,0.7986461346991024,0.64,0.633333333333333,0.35,0.726015293495363,0.84,0.966666666666667,2.21923510222348
2021,0.17928470215152503,0.62,0.5,0.2,0.841621233572914,0.88,0.933333333333333,2.34270717961694
2022,1.5620676230454174,0.72,0.6,0.1,1.5348986686804,0.82,0.766666666666667,2.00946485642624
2023,0,0.58,0.433333333333333,0.2,0.673727228784809,0.84,0.866666666666667,1.9523928502097
2024,-0.26003716661416854,0.56,0.433333333333333,0.25,0.506595745407976,0.88,0.966666666666667,2.508404386012
2025,1.0238724277426587,0.68,0.533333333333333,0.1,1.36520329945173,0.82,0.766666666666667,2.00946485642624
2026,0.6145851424023117,0.64,0.6,0.3,0.77774761584384,0.86,0.966666666666667,2.35831514852396
2027,0.7986461346991024,0.72,0.633333333333333,0.15,1.37712821658159,0.92,0.966666666666667,2.8703480253097
2028,0.7169175865023875,0.64,0.533333333333333,0.2,0.925272967480044,0.82,0.833333333333333,1.80904279967462
2032,0,0.62,0.433333333333333,0.1,1.1136575607565,0.88,0.866666666666667,2.39232318218139
2036,0.4684383878292392,0.66,0.533333333333333,0.15,1.12008512340092,0.88,0.9,2.31798495503839
2038,-0.9353975982290164,0.52,0.266666666666667,0.1,0.658625842334513,0.86,0.833333333333333,2.2489731316463
2044,1.6832424671458286,0.78,0.8,0.25,1.516110983769,0.9,1,2.7282386608279
2046,1.0701656301726443,0.68,0.633333333333333,0.25,1.01518457728388,0.84,0.9,1.95604131574068
2047,-0.17928470215152503,0.52,0.433333333333333,0.35,0.217426461619462,0.82,0.933333333333333,1.88640641245159
2050,1.1318976438657262,0.8,0.666666666666667,0,2.48447620992728,0.96,0.933333333333333,3.55483485667585
2052,0.6372787279287503,0.62,0.5,0.2,0.841621233572914,0.8,0.8,1.68324246714583
2058,-0.36002473958541004,0.48,0.3,0.25,0.150089237488041,0.72,0.7,1.19889026290412
2059,0.7322127136011394,0.66,0.6,0.25,0.927836853331882,0.86,0.933333333333333,2.17557569624011
2061,1.4037451908439205,0.72,0.733333333333333,0.3,1.14732623591813,0.86,0.966666666666667,2.35831514852396
2064,-0.1090378296962021,0.58,0.366666666666667,0.1,0.940856738456805,0.82,0.766666666666667,2.00946485642624
2067,1.6832424671458286,0.78,0.666666666666667,0.05,2.07558092624693,0.88,0.833333333333333,2.61227519305317
2068,0.8614545985909148,0.68,0.666666666666667,0.3,0.955127812003498,0.88,1,2.57814942333986
2070,0.17928470215152503,0.52,0.5,0.45,0.125661346855074,0.78,0.933333333333333,1.6267472928991
2074,0.10030716692946733,0.62,0.433333333333333,0.1,1.1136575607565,0.86,0.833333333333333,2.2489731316463
2075,0.5066942062715996,0.6,0.6,0.4,0.5066942062716,0.84,1,2.30709601376762
2076,1.4037451908439205,0.78,0.733333333333333,0.15,1.65935911270388,0.92,0.966666666666667,2.8703480253097
2078,-0.36002473958541004,0.48,0.3,0.25,0.150089237488041,0.72,0.7,1.19889026290412
2079,1.9348431322034028,0.72,0.666666666666667,0.2,1.27234853286837,0.8,0.8,1.68324246714583
2080,0.4597682351584642,0.62,0.433333333333333,0.1,1.1136575607565,0.8,0.733333333333333,1.90447728875469
2081,1.6344736440588,0.86,0.766666666666667,0,2.78166220151347,0.98,0.966666666666667,3.88766354644774
2082,-1.291261498551964,0.38,0.233333333333333,0.4,-0.474566187745845,0.78,0.9,1.5348986686804
2084,0,0.48,0.5,0.55,-0.125661346855074,0.78,1,1.92808756377675
2085,1.1318976438657262,0.74,0.666666666666667,0.15,1.46716068878925,0.9,0.933333333333333,2.53751933553781
2086,0.09287144954105413,0.54,0.466666666666667,0.35,0.301668732500439,0.8,0.9,1.66687203195217
2090,1.8416459527367572,0.76,0.766666666666667,0.25,1.40240304107773,0.86,0.933333333333333,2.17557569624011
2096,-0.5066942062715996,0.58,0.333333333333333,0.05,1.21412632765601,0.88,0.833333333333333,2.61227519305317
2100,0.5437600107985215,0.7,0.566666666666667,0.1,1.44944557033271,0.92,0.933333333333333,2.78263751158863
2102,0.9897463271372472,0.72,0.666666666666667,0.2,1.27234853286837,0.9,0.966666666666667,2.67553586938883
2104,0.19311723057927815,0.62,0.466666666666667,0.15,0.952781655586661,0.86,0.866666666666667,2.14720500613058
2105,-0.8614545985909148,0.5,0.3,0.2,0.317220720864874,0.86,0.9,2.12317279911752
2106,-0.6617451434528384,0.4,0.333333333333333,0.5,-0.430727299295458,0.74,0.9,1.2815515655446
2108,0.7823925163789435,0.6,0.5,0.25,0.674489750196082,0.76,0.766666666666667,1.40240304107773
2109,0.6975113910340894,0.68,0.466666666666667,0,1.97009717672469,0.84,0.733333333333333,2.67667463384191
2110,-0.10030716692946733,0.64,0.4,0,1.80040180749602,0.9,0.833333333333333,3.02117047673352
2113,1.1903570666665555,0.76,0.7,0.15,1.56083390220183,0.92,0.966666666666667,2.8703480253097
2114,-0.7706409328151352,0.48,0.233333333333333,0.15,0.308520098612145,0.74,0.666666666666667,1.46716068878925
2116,-0.6720762807436461,0.44,0.233333333333333,0.25,-0.0534235406855625,0.68,0.633333333333333,1.01518457728388
2118,2.9670797188025935,0.92,0.9,0.05,2.92640519249607,0.96,0.966666666666667,3.47876826276739
2119,-0.5066942062715996,0.52,0.266666666666667,0.1,0.658625842334513,0.76,0.666666666666667,1.71227886484006
2121,1.7915596377671783,0.72,0.733333333333333,0.3,1.14732623591813,0.82,0.9,1.80595207825264
2122,0.5437600107985215,0.7,0.566666666666667,0.1,1.44944557033271,0.92,0.933333333333333,2.78263751158863
2123,-0.7914505916289746,0.4,0.3,0.45,-0.398739165852967,0.74,0.866666666666667,1.23643296349186
2127,-0.6975113910340894,0.4,0.266666666666667,0.4,-0.369578620074288,0.68,0.733333333333333,0.876272826345887
2130,-1.2813337798382096,0.44,0.2,0.2,1.11022302462516e-16,0.78,0.766666666666667,1.56953452445456
2131,1.0048044467467108,0.7,0.6,0.15,1.28978049262959,0.86,0.866666666666667,2.14720500613058
2132,1.4726318347522591,0.72,0.666666666666667,0.2,1.27234853286837,0.84,0.866666666666667,1.9523928502097
2133,1.1903570666665555,0.8,0.7,0.05,2.16925413965951,0.96,0.966666666666667,3.47876826276739
2136,0.19311723057927815,0.64,0.466666666666667,0.1,1.19789983163747,0.88,0.866666666666667,2.39232318218139
2140,1.6832424671458286,0.86,0.8,0.05,2.48647486052439,0.98,1,3.6986025375833
2141,1.8416459527367572,0.84,0.766666666666667,0.05,2.37276691783312,0.94,0.933333333333333,3.1459395729955
2142,1.889339182788952,0.84,0.8,0.1,2.12317279911752,0.94,0.966666666666667,3.11546620136051
2145,2.1351410477562833,0.8,0.8,0.2,1.68324246714583,0.88,0.933333333333333,2.34270717961694
2149,0.6617451434528384,0.72,0.566666666666667,0.05,1.81274763173958,0.92,0.9,2.92640519249607
2151,-0.30193843099355466,0.58,0.366666666666667,0.1,0.940856738456805,0.86,0.833333333333333,2.2489731316463
2154,0.927415502914358,0.78,0.633333333333333,0,2.39444373771962,0.96,0.933333333333333,3.55483485667585
2155,-0.09287144954105413,0.52,0.433333333333333,0.35,0.217426461619462,0.8,0.9,1.66687203195217
2156,-0.2794205977637242,0.5,0.4,0.35,0.131973363271768,0.8,0.9,1.66687203195217
2160,1.0970445653961962,0.66,0.566666666666667,0.2,1.00951523836102,0.8,0.8,1.68324246714583
2161,1.4037451908439205,0.82,0.733333333333333,0.05,2.26777935016156,0.96,0.966666666666667,3.47876826276739
2163,0.6059608961124131,0.6,0.433333333333333,0.15,0.868539384705684,0.76,0.7,1.56083390220183
2164,0.9897463271372472,0.78,0.666666666666667,0.05,2.07558092624693,0.96,0.966666666666667,3.47876826276739
2166,-1.6832424671458286,0.3,0.166666666666667,0.5,-0.967421566101701,0.7,0.833333333333333,0.967421566101701
2167,-0.36002473958541004,0.54,0.4,0.25,0.421142647060282,0.86,0.933333333333333,2.17557569624011
2170,0,0.6,0.466666666666667,0.2,0.757969499665785,0.88,0.933333333333333,2.34270717961694
2174,0.5066942062715996,0.62,0.6,0.35,0.638667569543367,0.86,1,2.43906937703939
2176,0.7986461346991024,0.68,0.633333333333333,0.25,1.01518457728388,0.88,0.966666666666667,2.508404386012
2184,-0.4355967598547971,0.5,0.4,0.35,0.131973363271768,0.84,0.966666666666667,2.21923510222348
2190,-0.8614545985909148,0.42,0.266666666666667,0.35,-0.23760525680252,0.74,0.8,1.22694169998048
2191,0.31462136922034134,0.48,0.3,0.25,0.150089237488041,0.62,0.533333333333333,0.758141484103211
2196,0.6617451434528384,0.68,0.566666666666667,0.15,1.2043273942819,0.88,0.9,2.31798495503839
2203,1.1903570666665555,0.74,0.7,0.2,1.36602174628096,0.9,0.966666666666667,2.67553586938883
2207,2.4412806976946992,0.86,0.8,0.05,2.48647486052439,0.92,0.9,2.92640519249607
2209,2.088817589745192,0.74,0.766666666666667,0.3,1.25231380358969,0.82,0.9,1.80595207825264
2212,1.3489795003921634,0.82,0.7,0,2.57814942333986,0.96,0.933333333333333,3.55483485667585
2213,0.3357880095762108,0.6,0.566666666666667,0.35,0.553214471195673,0.86,1,2.43906937703939
2219,0.20926691122815064,0.62,0.433333333333333,0.1,1.1136575607565,0.84,0.8,2.12317279911752
2221,-0.6813896541755908,0.46,0.366666666666667,0.4,-0.0873477239519957,0.84,1,2.30709601376762
2222,-0.26003716661416854,0.52,0.433333333333333,0.35,0.217426461619462,0.84,0.966666666666667,2.21923510222348
2223,1.7915596377671783,0.84,0.733333333333333,0,2.67667463384191,0.94,0.9,3.33530047617642
2224,1.230282209191947,0.78,0.633333333333333,0,2.39444373771962,0.92,0.866666666666667,3.16452052726861
2227,-0.1320236247516813,0.56,0.3,0.05,1.12045311424343,0.76,0.633333333333333,1.98554845403927
