subj_id,roi_name,corr_indiv_grsm,corr_indiv_gtts
2001,lIFG,0.208738038990865,0.168659836720724
2002,lIFG,0.251571168793141,0.0468713200512568
2003,lIFG,0.166292539116758,-0.0806530986034187
2004,lIFG,0.199453278158988,0.256384063412309
2005,lIFG,0.20646484192135,-0.0672762735015067
2006,lIFG,0.296147090267003,0.256618728767608
2011,lIFG,0.231243180544004,0.173449824554681
2012,lIFG,0.277713744275094,0.319824207799324
2020,lIFG,0.20983567118404,0.373686079673546
2021,lIFG,0.285695597321458,0.152724936805507
2022,lIFG,0.204667090257025,0.225666698880207
2023,lIFG,0.259043925124241,-0.136434965693535
2024,lIFG,0.268094716937897,0.13325784466403
2025,lIFG,0.277630465326551,0.238738049430372
2026,lIFG,0.29135245905257,0.326027970341853
2027,lIFG,0.266688857422251,0.344830405255193
2028,lIFG,0.20606764210718,-0.229830786331856
2032,lIFG,0.282620846975718,0.121919217100738
2036,lIFG,0.190426643418208,0.113208024554569
2038,lIFG,0.269277204673058,0.254147886749668
2044,lIFG,0.264910046327149,0.00339028511566607
2046,lIFG,0.137887790606165,0.19527755479316
2047,lIFG,0.152653283159569,0.307246344615665
2050,lIFG,0.279595378287707,0.401474843039779
2052,lIFG,0.0214689074553452,0.238410306887492
2058,lIFG,0.216236804657425,0.336349899689271
2059,lIFG,0.2836025445616,0.434021620920232
2061,lIFG,0.182030969467651,0.281130478907141
2064,lIFG,0.211081452876275,-0.00951138810992808
2067,lIFG,0.269573837579269,0.146907438253555
2068,lIFG,0.197606758043741,-0.00655233046501327
2070,lIFG,0.173314078796642,0.294001609278965
2074,lIFG,0.283414702649192,0.175327741778648
2075,lIFG,0.176003165227303,0.100890008453641
2076,lIFG,0.223908950695429,-0.006316894221054
2078,lIFG,0.172412173033004,0.0681511034133289
2079,lIFG,0.215178131174342,0.21643519510184
2080,lIFG,0.277687507984938,0.234577306350138
2081,lIFG,0.23746053974579,-0.0626297035639475
2082,lIFG,0.231294297654668,0.137889949592565
2084,lIFG,0.167977728359522,0.273012964401661
2085,lIFG,0.2258259083829,0.26114792079337
2086,lIFG,0.249031754651839,0.184900456982142
2090,lIFG,0.231083118369886,0.267960465512639
2096,lIFG,0.228606419491877,0.314935739209819
2100,lIFG,0.246688529452758,0.392495324214804
2102,lIFG,0.222001884734899,0.382385414550928
2104,lIFG,0.243405765960349,0.0458787664508927
2105,lIFG,0.269724810314439,0.0452770512941016
2106,lIFG,0.236164543757802,0.195398535445782
2108,lIFG,0.198648889662014,0.178695740624806
2109,lIFG,0.161971223965044,0.287319698490794
2110,lIFG,0.190272369409701,0.229308517356086
2113,lIFG,0.194898251430945,0.212192692097428
2114,lIFG,0.258627496050672,0.200666200180895
2116,lIFG,0.271917417842626,0.114878367857073
2118,lIFG,0.25139366139200803,0.142161911284372
2119,lIFG,0.255761927246509,0.373695078456181
2121,lIFG,0.222246355970275,0.176255858924919
2122,lIFG,0.266642113780429,0.274093002778563
2123,lIFG,0.132145223347503,0.128727369135965
2127,lIFG,0.180924082986181,0.120057229463325
2130,lIFG,0.179506065945589,0.115112908061652
2131,lIFG,0.278592902957405,0.128888666489402
2132,lIFG,0.19334305716518,-0.0615147790843228
2133,lIFG,0.285148431802686,0.276751803527947
2136,lIFG,0.193197466687905,0.145538747997194
2140,lIFG,0.264995685304683,-0.0432621999767371
2141,lIFG,0.210944370660564,0.0165987849131803
2142,lIFG,0.16517410161053,0.348065842330544
2145,lIFG,0.223788882223329,0.0517092179601165
2149,lIFG,0.227561886681843,0.098518949979639
2151,lIFG,0.234036630128972,0.155742127620719
2154,lIFG,0.237709790810135,0.367205547693027
2155,lIFG,0.195245193457903,0.0365870517677841
2156,lIFG,0.247771493672052,0.201690110145042
2160,lIFG,0.237728920721678,0.0589670043859865
2161,lIFG,0.21786220645357,-0.175437501754476
2163,lIFG,0.311605237614078,0.28577018619483
2164,lIFG,0.261021254031414,0.413148001911392
2166,lIFG,0.225468854155035,0.315799278681942
2167,lIFG,0.231946152077631,0.204117974943417
2170,lIFG,0.226821182327211,0.0242515957739465
2174,lIFG,0.200849355358468,0.32260902215869
2176,lIFG,0.23084277219457,0.16125879131886
2184,lIFG,0.260465700611267,0.217397079030438
2190,lIFG,0.300924048894353,0.529042085480801
2191,lIFG,0.224383080708809,0.121461904412277
2196,lIFG,0.27305948313605,0.0365269702487115
2203,lIFG,0.249104209374189,0.336324537647573
2207,lIFG,0.293910561781654,0.435523579819249
2209,lIFG,0.215179033023266,0.199843920770354
2212,lIFG,0.224835831863243,0.171045101931766
2213,lIFG,0.194972805311053,0.163327617076651
2219,lIFG,0.262735788604413,0.391208611612332
2221,lIFG,0.218088878458759,0.0876949226515203
2222,lIFG,0.226397898033661,0.0350591573899795
2223,lIFG,0.260559052306365,-0.0714132354543591
2224,lIFG,0.24721545841795,0.200222593829503
2227,lIFG,0.231560249394948,0.0386101825234234
2228,lIFG,0.288843819117352,0.0976308381389784
2235,lIFG,0.221414067871855,0.199268539200445
2237,lIFG,0.255817027673539,0.0323692258147627
2239,lIFG,0.201541576524775,0.00904008356806795
2241,lIFG,0.269253390541967,0.026447903850534
2243,lIFG,0.141038610648594,0.0306758512181966
2244,lIFG,0.141233259731449,-0.0632823742357637
2249,lIFG,0.254720939515723,0.270376900530624
2250,lIFG,0.281809934640356,-0.0744786137714625
2253,lIFG,0.22558873961218,0.056263735768299
2255,lIFG,0.237890550370047,0.221349270391434
2256,lIFG,0.251670781448595,0.130711513006
2259,lIFG,0.266651205144208,0.264488270712007
2260,lIFG,0.217696658273196,0.0347140940351298
2261,lIFG,0.17914689576456,0.056279290718461
2262,lIFG,0.173388712979646,0.363279185911779
2263,lIFG,0.246141125475565,0.117035098015633
2266,lIFG,0.189842450018929,0.140127339294601
2267,lIFG,0.257095752547726,0.13403800353518
2272,lIFG,0.225262008681913,0.309545527200603
2273,lIFG,0.18852591626404,0.215224398380435
2277,lIFG,0.225761033982787,0.28520458978078
2280,lIFG,0.289447955349391,0.269980684965991
2286,lIFG,0.232710050754977,0.102752118849666
2292,lIFG,0.30785772671866,0.262801236024677
2295,lIFG,0.285586346967136,0.216337308884534
2296,lIFG,0.197339988021945,-0.0282389632609759
2299,lIFG,0.258759301724891,0.182667073813387
2300,lIFG,0.274244244556871,0.26982320335458
2302,lIFG,0.202888599540412,0.321026520642782
2304,lIFG,0.233256856342863,0.400883023520443
2306,lIFG,0.249486456742997,0.146660316275587
2307,lIFG,0.261000122949782,0.208346212124402
2308,lIFG,0.261199655826117,-0.0687551830890365
2309,lIFG,0.20248331790381,0.354283872820623
2310,lIFG,0.268963364853322,0.140271291076427
2311,lIFG,0.308795433156981,0.447398886373981
2313,lIFG,0.268487058650538,-0.0819526850843927
2314,lIFG,0.180412085262817,0.20747433371886
2316,lIFG,0.220906060078335,-0.043193141682886
2319,lIFG,0.328394976485264,0.0995300225243791
2321,lIFG,0.196722665599731,-0.00456111774931758
2323,lIFG,0.15744772180394,0.143912109151021
2326,lIFG,0.174048747402623,0.113894349566265
2328,lIFG,0.257843646143679,0.0619935265007718
2330,lIFG,0.295900991994176,0.179755324101075
2334,lIFG,0.26886486607317,0.314912704155787
2336,lIFG,0.247140613602644,0.259249975138242
2338,lIFG,0.227230619884161,0.205569945787457
3001,lIFG,0.232353670605102,0.180911102866789
3002,lIFG,0.201134272858134,0.212286889467598
3003,lIFG,0.147659456731409,-0.0826737513628309
3005,lIFG,0.245877261538559,0.0954469904341995
3008,lIFG,0.26316033688177,0.278926235001721
3010,lIFG,0.226103801223858,-0.201581972786853
3014,lIFG,0.213060795625201,0.220789867173146
3021,lIFG,0.262524432335903,0.0992536005582296
3022,lIFG,0.130004218457981,-0.032983150210015
